Pincode,Place,Latitude,Longitude,District,State
731102,Panuria,23.8168,86.9792,BIRBHUM,WEST BENGAL
731101,Suricollege,23.9081,87.5277,BIRBHUM,WEST BENGAL
723215,Chitmu,22.9394,82.4667,PURULIA,WEST BENGAL
723213,Majhidih,23.6605,86.0053,PURULIA,WEST BENGAL
723212,Suisa,23.1935,85.9023,PURULIA,WEST BENGAL
723202,Pandua,23.0749,88.2864,PURULIA,WEST BENGAL
723201,Rangamati,26.8076,89.4572,PURULIA,WEST BENGAL
723156,Talberia,23.5825,85.7894,PURULIA,WEST BENGAL
723155,Sankra,21.2852,82.6586,PURULIA,WEST BENGAL
723154,Satra,23.2752,86.1983,PURULIA,WEST BENGAL
723153,Patuara,23.1906,86.3502,PURULIA,WEST BENGAL
723152,Ghorabandha Sindri,25.3158,85.2106,PURULIA,WEST BENGAL
723151,Gopalpur,22.1997,88.0081,PURULIA,WEST BENGAL
723149,Baligara,24.3649,86.3924,PURULIA,WEST BENGAL
723148,Bagdisha,23.2761,86.5605,PURULIA,WEST BENGAL
723147,Bagalmari,22.750999999999998,84.9888,PURULIA,WEST BENGAL
723146,Santaldih T.P.,22.9164,86.4166,PURULIA,WEST BENGAL
723145,Ichhar,23.2761,86.5605,PURULIA,WEST BENGAL
723143,Shyamnagar,22.8333,88.3667,PURULIA,WEST BENGAL
723142,Ramchandrapur Ashram,23.2761,86.5605,PURULIA,WEST BENGAL
723133,Rakshatpur,23.5272,86.8571,PURULIA,WEST BENGAL
723132,Tara,26.7954,79.1931,PURULIA,WEST BENGAL
723131,Dhagora,23.5859,86.7896,PURULIA,WEST BENGAL
723130,Daldali,22.3827,81.1823,PURULIA,WEST BENGAL
723129,Rajagram,22.9935,87.6981,PURULIA,WEST BENGAL
723128,Chandra,22.4617,87.1485,PURULIA,WEST BENGAL
723127,Bamundiha,23.1177,86.3661,PURULIA,WEST BENGAL
723126,Lipania,21.7016,84.1078,PURULIA,WEST BENGAL
723121,Murulia,23.0457,86.3728,PURULIA,WEST BENGAL
723104,Sainik School (Puruliya),23.4636,84.50399999999998,PURULIA,WEST BENGAL
723103,Ranibandh,22.8645,86.7836,PURULIA,WEST BENGAL
723102,Durku,21.7032,87.1571,PURULIA,WEST BENGAL
723101,Chitora,26.6373,75.7046,PURULIA,WEST BENGAL
722208,Pakhanna,22.7496,87.8749,BANKURA,WEST BENGAL
722207,Gopikantapur,19.7597,85.1841,BANKURA,WEST BENGAL
722206,Patit,27.1008,79.8798,BANKURA,WEST BENGAL
722205,Indas,23.145,87.6269,BANKURA,WEST BENGAL
722204,Hatasuria,23.0693,85.9013,BANKURA,WEST BENGAL
722203,Barkura,22.7711,86.4294,BANKURA,WEST BENGAL
722202,Barjora,23.4275,87.2904,BANKURA,WEST BENGAL
722201,Mandra,22.8333,88.0833,BANKURA,WEST BENGAL
722183,Mejia Th Power Station,24.178,84.814,BANKURA,WEST BENGAL
722173,Jorda,23.1715,86.8339,BANKURA,WEST BENGAL
722164,Jiabandi,24.6028,82.7913,BANKURA,WEST BENGAL
722162,Moulasole,25.2224,81.3699,BANKURA,WEST BENGAL
722161,Anur,27.1794,72.0489,BANKURA,WEST BENGAL
722160,Pukhuria,22.9274,87.0137,BANKURA,WEST BENGAL
722158,Shyampur,27.1713,79.3907,BANKURA,WEST BENGAL
722157,Bonradhanagar,23.2279,87.2881,BANKURA,WEST BENGAL
